Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55879.51972,57909.1999,60307.50498,60211.16965,61728.95666,64148.37332,65546.74845,64190.16312,63099.24115,64532.51464,66439.13672,68349.93038,70717.779,72755.32113,73808.32138,75214.16712,79772.89055,81012.99009,80036.74599,78298.52299,80280.02445,83935.22572,88245.95835,83788.51089,81371.23087,62540.62522,56297.22671,60994.53156,61839.11757,64724.13243,65588.26877
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.529324,1593.149836,1704.782938,1786.324556,1917.274797,2085.273313,2213.302787,2329.876527,2439.440968,2609.774832,2696.378391,2923.116464,3229.50883,3480.084171,3723.461728,4056.152552,4412.510058,5302.73422,5608.49446,5972.870569,6693.515913,7295.853328,7912.144645,7989.689179,8666.455725,9500.650716,10457.24438,11142.47467,11620.9159,12366.52648,11126.07149
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.149695,5895.658431,6036.514755,6137.896738,6338.069143,6760.38467,7113.369133,7661.635331,7607.404866,8282.310412,8461.967023,8507.000351,9004.94805,9431.86519,9772.379541,10339.50289,11311.75522,12311.81166,13055.48758,11912.9167,12862.49133,13729.85927,13091.98012,14168.08218,15702.87275,14639.55843,16638.5205,15948.03202,16611.90439,17039.26219,15452.72611
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0324022,636.6025731,592.6609111,591.3746148,615.6380469,655.4780039,624.2049562,652.4358413,674.2820295,692.2036983,674.4408517,704.2225429,725.6148338,684.9559203,730.7469777,745.5732324,789.2096421,831.6089804,849.9410502,916.1877056,958.9211041,1012.657401,1102.027526,738.4748923,720.3241096,787.0129065,851.0726713,912.8030453,955.5137443,985.1120414,987.276727
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25250.25848,26310.70443,27841.35335,29362.94525,30214.09251,30963.053,32333.48297,33911.04368,36327.22865,38106.35663,39555.50098,40376.30688,38893.72053,40114.18959,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.09658,50239.99105,50660.57779,48090.99217
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7089.341483,6643.507118,6684.802002,6953.028697,7391.9397,7977.42349,8382.44959,8704.217401,9097.723778,9397.319914,10019.71406,10803.36852,11630.39836,12327.34462,13471.83169,14312.22984,15899.3925,17736.72666,19670.99439,19712.73835,20824.9768,22187.38416,22975.54657,23964.16257,24984.37049,26140.05531,27874.95637,29901.29917,31928.21189,34210.67006,33885.23566
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28416.82325,28747.22261,29067.24293,29449.01808,30217.92993,30793.44594,31465.23156,32759.63422,33903.7546,34818.07604,36788.69429,37913.09105,38814.37174,38800.86511,40302.98604,41749.21645,46440.73998,51145.94117,54096.80786,53393.30336,54900.31435,57987.50203,59933.59868,62225.08727,64103.01045,66020.20434,68105.15498,69103.57026,71671.51508,73143.75816,71760.58621
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511.172098,4952.539608,5622.777742,6119.381459,6568.777966,7351.82983,8011.572773,8637.326621,8995.763222,8977.116842,9553.568491,9972.651669,10333.06096,10841.3259,11812.63413,12746.58969,15753.9601,16941.82983,16501.80988,16159.60715,18161.80924,20342.56148,21507.69257,22439.27325,22786.64277,22698.54566,23437.59253,24470.70362,24740.49615,25974.73164,25067.6916
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.8745585,1094.073613,1262.611028,1455.166436,1661.117234,1861.388294,2061.824285,2269.201401,2451.152804,2653.973626,2920.560791,3210.009396,3534.84913,3937.312875,4425.874191,5053.945798,5836.573437,6810.6039,7574.224455,8307.849519,9253.765188,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.35999,16653.33884,17204.35583
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2754.217969,2747.709183,2704.985477,2668.143814,2654.46166,2808.30588,2983.001239,3226.875876,3302.217686,3295.306867,3273.828667,3196.192445,3088.723846,2934.717651,3045.535662,3105.323672,3219.15055,3269.457137,3415.093394,3484.508432,3679.600911,3470.929834,3558.631068,3867.323876,4319.578655,4652.889619,4726.98074,4830.750515,5154.331702,5432.992608,5463.479259
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.317743,1887.130762,1816.198144,1663.256652,1682.666911,1719.706449,1776.566522,1840.969031,1899.435169,1961.973875,2028.825591,2106.634292,2177.1685,2276.831401,2436.455333,2499.66952,2601.50066,2711.609819,2765.931764,2781.289851,2816.797424,2892.448394,2958.692624,3129.858638,3312.540064,3395.628961,3527.165372,3665.117851,3800.971267,3901.14196,3866.079027
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.2103505,805.0902995,708.8335118,603.927046,571.6039844,568.9708716,557.6208197,522.6318231,508.0735646,481.9072305,447.0821604,435.0764329,441.8202731,460.7701257,489.4200951,518.8403245,545.1513874,575.7490764,603.2879075,604.8441735,633.9131335,668.940881,669.5674426,753.4851681,849.7608186,905.4505994,963.6692722,1059.810762,1111.96579,1144.381029,1141.393934
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472.777774,3576.702535,3651.801596,3600.607455,3379.812436,3488.561786,3600.744362,3538.744885,3606.214679,3462.03063,3699.228406,3813.747709,3938.432231,3929.600191,4052.513202,4363.250914,4695.68829,4350.752005,4555.98509,4959.396244,5349.829561,5428.241535,6335.785752,6069.000985,5931.133916,4639.744518,3839.9616,4234.659883,4022.748814,3987.490158,3620.968297
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009.026217,5179.466401,5405.423117,5720.427469,6066.87071,6397.806646,6531.434692,6758.270569,6758.525749,6460.906827,6690.373751,6843.739037,7018.082018,7319.543212,7806.050509,8324.754688,9035.56564,9781.970408,10179.24484,10258.97084,10731.64591,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13812.09606,14171.3205,14865.89324,15621.08737,14570.23674
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.400572,1506.625984,1624.211394,1663.836076,1564.392357,1609.208033,1573.706712,1622.150804,1618.162059,1630.497034,1801.764134,1838.355456,1865.267165,1894.199957,1936.006798,2004.640868,2069.879744,2091.741984,2165.075425,2197.808664,2252.877706,2337.027619,2511.505979,2636.472976,2716.827525,2709.56254,2863.852044,3032.262133,3146.901748,3188.175462,3151.957145
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.875886,1087.614683,1200.999339,1298.947877,1537.693734,1747.195646,1934.757642,2141.138621,2387.454161,2642.840077,3032.197183,3113.160977,3273.95009,3420.200633,3813.689197,4146.066953,4552.229421,5316.854983,5711.275917,5613.746558,5692.549105,5966.848,5818.903059,5792.919833,5748.096238,5994.407103,6322.913234,6643.179892,7028.993091,7475.12252,6374.267776
